date,index_level,divisor,notes
2025-01-17,1736.1567816618701,1000.0,
2025-01-18,1807.587136389686,1000.0,
2025-01-19,1810.605352482017,1000.0,
2025-01-20,1757.5151466651712,1000.0,
2025-01-21,1766.0110872291993,1000.0,
2025-01-22,1842.6686572791211,1000.0,
2025-01-23,1799.133069998301,1000.0,
2025-01-24,1805.971778007159,1000.0,
2025-01-25,1819.2922775985598,1000.0,
2025-01-26,1818.6128445800907,1000.0,
2025-01-27,1779.674455454088,1000.0,
2025-01-28,1769.370111113628,1000.0,
2025-01-29,1758.1706962761596,1000.0,
2025-01-30,1799.9217027758057,1000.0,
2025-01-31,1818.3607408284279,1000.0,
2025-02-01,1776.7268265372636,1000.0,
2025-02-02,1747.0933113775664,1000.0,
2025-02-03,1693.1841351039118,1000.0,
